0;2011-03-07T19:43:40;;;
1;2012-01-27T17:44:09;;;
2;2012-03-13T16:43:40;;;
3;2012-07-12T16:43:40;;;
4;2014-01-04T17:44:09;;;
5;2014-01-04T19:43:40;;;
6;2014-01-04T21:44:38;;;
7;2014-01-05T17:44:09;;;
8;2014-01-05T19:43:40;;;
9;2014-01-05T21:44:38;;;
10;2014-01-07T17:44:09;;;
11;2014-01-07T19:43:40;;;
12;2014-10-20T16:43:40;;;
13;2014-10-22T19:43:40;;;
14;2014-10-22T22:43:40;;;
15;2014-10-23T16:43:40;;;
16;2014-10-23T19:43:40;;;
17;2014-10-24T16:43:40;;;
18;2014-10-24T19:43:40;;;
19;2014-10-24T22:43:40;;;
20;2014-10-25T16:43:40;;;
21;2014-10-25T19:43:40;;;
22;2014-10-26T19:43:40;;;
23;2014-12-18T17:44:09;;;
24;2014-12-18T19:43:40;;;
25;2014-12-18T21:44:38;;;
26;2014-12-19T17:44:09;;;
27;2014-12-19T19:43:40;;;
28;2015-06-22T19:43:40;;;
29;2017-09-09T22:43:40;;;
30;2017-09-10T16:43:40;;;
31;2022-03-31T19:43:40;;;
32;2022-08-28T19:43:40;;;
33;2022-08-29T16:43:40;;;
34;2023-01-12T19:43:40;;;
35;2023-01-13T17:44:09;;;
36;2023-01-13T21:44:38;;;
37;2023-01-14T17:44:09;;;
38;2023-01-14T19:43:40;;;
39;2023-01-14T21:44:38;;;
40;2023-01-15T17:44:09;;;
41;2023-01-15T19:43:40;;;
42;2023-01-15T21:44:38;;;
43;2023-01-16T17:44:09;;;
44;2023-01-16T19:43:40;;;
45;2023-01-16T21:44:38;;;
46;2023-01-17T17:44:09;;;
47;2023-01-17T19:43:40;;;
48;2023-01-17T21:44:38;;;
49;2023-01-18T17:44:09;;;
50;2023-01-18T19:43:40;;;
51;2023-01-18T21:44:38;;;
52;2023-01-19T17:44:09;;;
53;2023-01-19T19:43:40;;;
54;2023-01-19T21:44:38;;;
55;2023-01-20T17:44:09;;;
56;2023-01-20T19:43:40;;;
57;2023-01-20T21:44:38;;;
58;2023-01-21T17:44:09;;;
59;2023-02-08T21:44:38;;;
60;2023-02-09T19:43:40;;;
61;2023-02-10T17:44:09;;;
62;2023-02-10T21:44:38;;;
63;2023-02-11T17:44:09;;;
64;2023-02-11T21:44:38;;;
65;2023-02-17T19:43:40;;;
66;2023-02-25T19:43:40;;;
